weight logl norm alpha beta
4.170781550978971745e-68 -1.629885148901278455e+02 4.291490030513649412e-01 1.761813892652274616e+00 1.241896982038345865e+00
9.105628765143876139e-68 -1.622052255627517923e+02 5.863495855163166626e-01 1.033019851451026039e+00 1.933255161165407521e-01
6.719119332041225065e-67 -1.602040761435128218e+02 7.619593453252222481e+00 2.829022564107613213e+00 4.520511126961023196e-01
7.626357134035207339e-67 -1.600749229462326753e+02 4.791722655011001919e+00 1.407117725143459674e+00 2.036178638293403287e-01
1.366094520745576170e-66 -1.594894921906565344e+02 1.323298090669939864e+00 1.025387010244234176e+00 9.769746840166793067e-02
4.391590679067320668e-66 -1.583192566417557430e+02 8.640850740294029109e+00 2.630634610243902660e+00 3.529716870197747158e-01
5.124614366160528428e-66 -1.581623928681200368e+02 9.060235735527356837e+00 2.756532654615041711e+00 5.202342943338414960e-01
7.377438340978417365e-66 -1.577955216745983478e+02 3.604781802149973347e-01 1.797636401139924844e+00 3.537536397868252247e-01
7.860221768989397229e-66 -1.577296333237589749e+02 3.978757827852669848e+00 3.144016410376556436e+00 3.754128188990358828e-01
9.459773870698399303e-66 -1.575418996656397894e+02 5.525266174763891591e+00 1.347412311649579753e+00 5.396039746685390437e-01
1.778464679844318165e-65 -1.569081125990026351e+02 3.909033885661046259e-01 2.525997369805827564e+00 8.025033591792289922e-01
5.688388587251373902e-65 -1.557429360444974122e+02 4.889609193164829115e+00 3.241016730946473245e+00 6.172903312380825236e-01
1.599336779197309067e-64 -1.547066889283883313e+02 8.445465933988366203e+00 1.332152764139417300e+00 1.276327028151969190e+00
2.120080598274614541e-64 -1.544223238526828084e+02 8.642571846551119208e+00 1.712506878292473722e+00 3.666414326688471892e-01
1.085870561265150028e-63 -1.527863108398178156e+02 5.267421488808106123e-01 1.852810123790165298e+00 1.391905994912957745e+00
2.058214266838310427e-63 -1.521443541196017577e+02 8.993132045783070794e+00 3.444290595334953409e+00 1.418312874325128758e+00
