Mphi g si norm mntot
7.425297053972866879e-01 1.997484002936892808e-02 2.753854989008254872e+00 1.027914172998061559e+01 1.361148866803237323e-01
5.357813570595749697e-01 1.536165901321161729e-02 2.745139741694328173e+00 9.749250520051495172e+00 1.140551277775917471e-01
7.262474203635110870e-02 2.282547940118147961e-02 2.889845679398276967e+00 1.479237952324731964e+01 1.208320096354352918e-01
5.058382210232341691e-01 3.034665272593712812e-02 3.179959306430051313e+00 1.702732796699632445e+01 1.165604980875339369e-01
6.078167184370001364e-01 3.666504627475026395e-02 3.042037815080564478e+00 1.984346114786853121e+01 1.405327586044402555e-01
6.190465365711627088e-01 2.198089470809626300e-02 2.842700530633208267e+00 7.942770085344507791e+00 1.449989531901760553e-01
3.072301360211104337e-01 2.382495398984093779e-02 2.964088778771126531e+00 1.377550248449204773e+01 1.118072005819177039e-01
8.946678050085531408e-01 7.639269144619724580e-04 2.622611334679263884e+00 7.339321686983761417e+00 1.333200531743841677e-01
6.009181336380815530e+00 4.253073976776050591e-02 2.358135140364889359e+00 9.527253180017034140e+00 1.107258942759931780e-01
6.172359835650985671e-01 2.741512884217785564e-02 3.195386491532536510e+00 1.094537561947871396e+01 1.270044485721423255e-01
8.969214994333296609e-01 2.400810935860364648e-03 2.648973642344501389e+00 6.641299025376797616e+00 1.470564893458447542e-01
6.913049915607704099e-01 2.050186180544552247e-02 2.801908747601062011e+00 9.536227981313105673e+00 1.327746323309681176e-01
5.129282747333910208e+00 1.120303969901352559e-02 2.378862804183542234e+00 8.841715600660400298e+00 1.402866514487327021e-01
9.070314981916682839e-01 2.990307769499059298e-04 2.668340604255759807e+00 7.149365541654686851e+00 1.269876745311993016e-01
1.453200016426047514e-01 1.142530594821769725e-02 2.776957176395447924e+00 6.808889750446804889e+00 1.016382199341846621e-01
7.409964033329516919e-01 2.235830269890690114e-02 2.866444633855768309e+00 9.966233327899090000e+00 1.343953567111341174e-01
7.659770623414219326e-01 1.362413198734003898e-02 2.619194024186269232e+00 8.720928087273520646e+00 1.424346409320604023e-01
7.224701397339738929e-01 2.797777342542627846e-02 3.166682490480023482e+00 1.030545854374582149e+01 1.458008419151657353e-01
