norm alpha beta
3.105641283730942170e+00 2.532316101588448554e+00 3.240623007688487323e-01
3.334015930532176597e+00 2.532179716068407860e+00 4.367658943909009106e-01
2.443583511515475593e+00 2.733950605082574370e+00 3.178590738431318341e-01
2.573638944558318098e+00 2.592304974401594464e+00 1.769396080205090094e-01
2.502467468359466096e+00 2.644628936385782669e+00 2.924802103594777436e-01
2.796296658256039347e+00 2.612106942388573216e+00 5.027014039489227093e-01
2.611413890435578367e+00 2.616773042547852590e+00 2.964096738323361291e-01
2.432779685312220330e+00 2.588857345426088585e+00 2.814584639749378447e-01
2.280341076093365338e+00 2.697609038353629529e+00 2.839078994490350505e-01
3.143908691168912473e+00 2.683324081600939159e+00 5.058698586041391332e-01
2.362648856878895476e+00 2.622528969604907001e+00 2.456624427189695870e-01
2.537161692135749380e+00 2.660860651652457776e+00 3.175581365397253664e-01
2.917464138708904642e+00 2.619740405560197161e+00 2.556017453877841850e-01
2.845867816760147218e+00 2.674922438575649597e+00 4.070039008536733838e-01
3.104504395745597112e+00 2.416832570125508006e+00 1.545503512159047965e-01
2.676291140432160098e+00 2.751570968026023856e+00 3.689835723877075702e-01
2.805218896534664275e+00 2.589975542880348147e+00 2.839350281720809943e-01
2.538703070725887745e+00 2.577353403878206883e+00 2.189935174672272278e-01
2.747393096553316649e+00 2.652144910053046090e+00 3.204344605326404083e-01
2.948164981304137733e+00 2.597331356804279068e+00 4.581499074482562328e-01
3.454406110673674313e+00 2.643262426763174133e+00 6.080345913028682991e-01
2.879147372729748078e+00 2.531707792314344285e+00 2.390964361963436313e-01
3.143908691168912473e+00 2.683324081600939159e+00 5.058698586041391332e-01
2.395772894455424851e+00 2.499274775403797388e+00 8.277547021632095103e-02
2.679911353023824550e+00 2.728022423964022725e+00 4.144325064177581952e-01
2.496482557163322902e+00 2.851274102655684484e+00 4.725011965494888555e-01
2.741609444570867193e+00 2.542713435397764954e+00 1.488164768900809842e-01
2.850903886879101012e+00 2.552502379422679546e+00 4.714882739443465032e-01
2.446734942817624159e+00 2.637633057795180314e+00 2.601279344227803714e-01
3.321332535755670889e+00 2.667141938600956941e+00 4.452767913614609774e-01
2.945760521503122842e+00 2.604154138275507790e+00 3.501950949477655728e-01
3.334015930532176597e+00 2.532179716068407860e+00 4.367658943909009106e-01
2.711523365879589864e+00 2.624690984462339838e+00 2.925799882441741939e-01
2.649322500357510712e+00 2.521376428966257244e+00 4.336807168051734496e-01
2.987588017603324708e+00 2.587876564857471529e+00 4.362124668045227471e-01
2.436168262839991439e+00 2.749250488401761672e+00 4.669206603227186725e-01
2.765843690623674078e+00 2.567039827148783537e+00 2.629945977021810877e-01
2.585378474156697415e+00 2.638030968562365963e+00 3.345997669190983737e-01
2.645948428323653179e+00 2.621696349862107311e+00 3.378186771583683856e-01
2.774100685836826674e+00 2.590468381070249571e+00 4.407105756466351276e-01
2.463335195021002288e+00 2.623635673526437451e+00 2.528671545564933898e-01
2.913869242900701817e+00 2.559324003020448934e+00 2.922094377967491829e-01
2.933874098644481343e+00 2.467335272177677119e+00 2.626025233155445671e-01
