Mphi g si norm mntot
5.965637275985979926e-01 2.990182007254105906e-02 2.891809732921561071e+00 1.652315172519604403e+01 1.265871558597652935e-01
6.631937589756521589e+00 9.800770724856029681e-02 2.306085509320590532e+00 7.738310433329720794e+00 1.013488757007818541e-01
5.882738315119299122e-01 3.123302746939024543e-02 2.958170326467097322e+00 1.679377456483091891e+01 1.301607257827120390e-01
2.136531206204634969e+01 4.215505339252887951e-01 2.169131526013459155e+00 8.530418305923676670e+00 1.159496415113941414e-01
5.769591979809591820e-01 3.474791555846806768e-02 3.108395155179416225e+00 1.598742271866369258e+01 1.298209482867396791e-01
6.222616340091048359e-01 2.698250514722368154e-02 2.946302723820840797e+00 1.071485640620066704e+01 1.342496665827583036e-01
6.790202669077237019e+00 1.157182144972819793e-01 2.116122391852187423e+00 8.342750790137818839e+00 1.161583344276706509e-01
6.939556628971890184e+00 4.671474533336087559e-02 2.481436032288269811e+00 7.405216871718233840e+00 1.007597777144481899e-01
5.226166705463998419e+00 7.063345864110509575e-02 2.268229671576632356e+00 8.568706921365112805e+00 1.025410199140754930e-01
5.911670408554777628e-02 1.944528764289746303e-02 2.864614005645742978e+00 1.032110790496871822e+01 1.358180106560540612e-01
6.380997400575333378e-01 3.316200765662676714e-02 3.042904541032345200e+00 1.581976584281775544e+01 1.421112254387437990e-01
7.594894260995104229e-01 1.396274107701984610e-02 2.664999154765113509e+00 6.364264560271141846e+00 1.434913728710386915e-01
5.613018789938627151e+01 9.675410361902543332e-01 2.097476473012078735e+00 6.521919906944180667e+00 1.435523665618078648e-01
6.337760490330562213e+00 9.766599266833024540e-02 2.079456086057299480e+00 6.512654402922020580e+00 1.084943913803798482e-01
5.268170850689921636e+00 8.306649665439343189e-02 2.265619215145372234e+00 8.455887793475032055e+00 1.138195890421262318e-01
5.844457326180685364e+00 8.259057757235792330e-02 2.282041412497860744e+00 7.223060863857497793e+00 1.113864176303675790e-01
4.665803652562512394e-01 1.831962881010982397e-02 2.876117905416724518e+00 8.078418312746478591e+00 1.135110271265788173e-01
5.888306636024814855e-01 1.654354148884782522e-02 2.589376474717103527e+00 7.257682141136928777e+00 1.456539826872708943e-01
4.041177878536069551e-02 1.949150316469268340e-02 2.857584026341842609e+00 1.180642515907027068e+01 1.251687962097453588e-01
4.159426729897693076e-02 2.010740930522918538e-02 2.955860977551362900e+00 1.164479717250216595e+01 1.418172655094479262e-01
6.180753122834121704e+00 4.064436925401632150e-02 2.373838589328290283e+00 7.410612496762445822e+00 1.162557460077310312e-01
6.527363132582340910e+00 1.180573899023631274e-01 2.235921414172125310e+00 8.485536569611408453e+00 1.018040272889315645e-01
5.840683131417256035e+00 9.269750197840581629e-02 2.071316340264695466e+00 7.231650201834431080e+00 1.072829566000154250e-01
2.813598634263924581e+01 5.564795793201994245e-01 2.150229080522187974e+00 9.628662101644112070e+00 1.379145063230195201e-01
4.435418325986634214e-01 3.166184399232992164e-02 2.917733209961903995e+00 1.863294206752598114e+01 1.208331237136551495e-01
5.957504640388490813e+00 3.570659605446465518e-02 2.481966861694168358e+00 6.658269135921957904e+00 1.179577529339822795e-01
6.644857038336466459e+00 1.001825160187447411e-01 2.156492962354169762e+00 8.231069715254044183e+00 1.064603879398422631e-01
6.277783822167696259e-01 2.794089733717853782e-02 2.972935460427400756e+00 1.234290404453431123e+01 1.287489342015606664e-01
4.096201392774295513e+00 1.304476135500007815e-02 2.373019219239304700e+00 8.342661312713190114e+00 1.412106918280234269e-01
6.882962508250586531e+00 8.308345058634163116e-02 2.312221059393322342e+00 7.528038629089262912e+00 1.122947149301200404e-01
6.546203717963057223e-01 2.852165271427108129e-02 2.887134649523747321e+00 1.387446309610376360e+01 1.390263406238969601e-01
6.002011831994659374e+00 9.814445093278456600e-02 2.076388977716152606e+00 7.389758518746666560e+00 1.047945294904534946e-01
3.658349127225490188e-02 2.909993002601669529e-02 3.080344396856913747e+00 1.903654437577169745e+01 1.419492071027430025e-01
2.749162286685503531e+01 7.149056714700159354e-01 2.052395850198971416e+00 9.205136365771917184e+00 1.023583067387900947e-01
6.222484938794300646e+00 1.117368842955592800e-01 2.086323340144287553e+00 6.454618239675163238e+00 1.036959485445633627e-01
5.494680120810174984e+00 5.943413217782293062e-02 2.249623381871759698e+00 7.946808584013020926e+00 1.102164166822396790e-01
8.863490654488371812e-01 1.717591679250938391e-02 2.579157447026050765e+00 8.725402171061862333e+00 1.481753964917692512e-01
4.082328121754880690e-01 3.098312340781686838e-02 3.083220525467311290e+00 1.768434636489387302e+01 1.124052309305292180e-01
5.238658602706955492e+00 8.213660996035967998e-02 2.199060925552937640e+00 7.952501986488135444e+00 1.066305267512140387e-01
7.743315386224340624e-02 1.037600306089542929e-02 2.518667457355474593e+00 7.050582620024156810e+00 1.203637573798845839e-01
6.404632221589276142e+00 8.204546408086715870e-02 2.341381817029641876e+00 7.554014833201777357e+00 1.108011661510642926e-01
6.196742428273922521e-01 3.174365450386477244e-02 2.989796048159995667e+00 1.432664496645524821e+01 1.361227059592445832e-01
9.600850646613860728e-02 1.751787717866643695e-02 2.708583618929004899e+00 1.001220215422788407e+01 1.328237050476184788e-01
5.670633473005971759e+00 4.645464691275151894e-03 2.624533286199211890e+00 6.365356131705667053e+00 1.226577462095465865e-01
6.503816828616753032e-01 3.324663170909358811e-02 3.065187962725061332e+00 1.431756758332246804e+01 1.344632734759806381e-01
1.559665261980889994e+01 2.955003447611812550e-01 2.080190137878829226e+00 6.901738215722937220e+00 1.273279599883002100e-01
6.837262618476989573e+00 8.595496999179452757e-02 2.251660318795638105e+00 6.819637623334827481e+00 1.055529018533949287e-01
6.295217116269742341e+00 1.124198050075928962e-01 2.000982800324160316e+00 6.135237458091861384e+00 1.083987391636755254e-01
2.518191016522220593e+01 5.110213804189759346e-01 2.041063770011701806e+00 7.291702791535748851e+00 1.228571795317860982e-01
5.157422789993759693e-01 2.116243257863682087e-02 2.894338140222039613e+00 9.133205872463459940e+00 1.165536110618463350e-01
5.511200779101093516e+00 8.665488948860426699e-02 2.141543714203804072e+00 8.202524087051600077e+00 1.076470800259080735e-01
5.720591390479128791e+00 6.816744821965090018e-02 2.257368079596986821e+00 6.814632496578684417e+00 1.352747257226324940e-01
3.999903145692888984e+01 7.761501854542433021e-01 2.269581955363551007e+00 8.351791213253980217e+00 1.133998699733892029e-01
2.140665260228496436e+01 3.598156841161170849e-01 2.258630609896384644e+00 8.773264613206826823e+00 1.148455488690616061e-01
5.764398032746647971e+00 8.950256549037816090e-02 2.168098968785975966e+00 6.487489942447792757e+00 1.081337302064829392e-01
4.303527053513963585e-01 2.118753790873367446e-02 2.857070784804562003e+00 1.104159832832254118e+01 1.115405386507712648e-01
1.290192880637467121e-01 2.725351944434630316e-02 2.923640863809882529e+00 1.882497950844488344e+01 1.210741590701069348e-01
2.235131395983690794e+01 4.393185200592218398e-01 2.067067190477503313e+00 8.380337717613974391e+00 1.343723937491449472e-01
1.172828824128891306e-01 1.460827696494224406e-02 2.644272902173163686e+00 9.447106323030721953e+00 1.024806951700740210e-01
6.805991052632393012e-02 1.959314797539819450e-02 2.857443059906159988e+00 1.392936545086224776e+01 1.084158115653673510e-01
5.016552509912315383e-01 3.014349917293204437e-02 3.077531558680028034e+00 1.364183764398216425e+01 1.155009756919797015e-01
6.527782163918034897e+00 9.016317344484728324e-02 2.240027921558774615e+00 8.585192860495126865e+00 1.190458264741540984e-01
5.949978767177936945e+00 7.907131768986400133e-02 2.217581250497117296e+00 7.740567724102692004e+00 1.066211266824896170e-01
1.098769246832347513e+01 1.338703433151648414e-01 2.304758710857179871e+00 8.091727123015559187e+00 1.322937373742392175e-01
5.019535201517127732e+00 3.867753088755980506e-02 2.306605934464567298e+00 7.212912292748804965e+00 1.136738680498066145e-01
